collocate,cooc,mean_dist,std_dev_dist,chi_sq,MI,loglike
приобретают,6,1,0,1.16832884880078E+035,8.7603861847,61.8103713502
внутрь,4,-0.75,1.2583057392,1.06139717795567E+034,5.9292630967,25.0276154899
диаметром,8,0.5,1.6035674515,2.12696130921285E+034,5.9257314057,50.0518464543
мельчайшие,9,-1.1111111111,0.3333333333,2.91343341614939E+035,9.4862112212,102.7251950664
fe3o4,6,0.8333333333,1.4719601444,1.22558396816342E+035,8.8290989348,62.4258320259
позволяет,11,-2,1.4142135624,1.36118446346326E+034,4.8700608428,53.1451124636
только,12,-1.75,0.9653072992,4.22775944491177E+033,3.2711449771,33.0346906994
внутри,4,-1,0,4.12337155346361E+033,4.635904154,18.0453610298
то,6,-1.8333333333,1.9407902171,7.67175518855132E+032,2.207225744,8.982840571
эти,39,-1.2564102564,0.4983102351,1.04942703056432E+035,5.8948603926,243.7065003101
неоднородными,5,1,0,5.83044628743328E+035,11.3386540328,75.0389746562
собой,8,-1.125,2.0310096012,1.0149408642181E+034,4.9082014812,39.0343432996
тем,4,0.75,2.5,8.80352043332675E+032,2.7530654982,8.4660586624
уменьшении,4,-2,0,3.51662808435014E+034,7.6244085152,34.5941229808
гематита,4,1,0,2.48318163785901E+035,10.4317634372,51.9894169115
имеют,17,1.2941176471,0.4696682183,5.50332310256677E+034,6.187314095,112.6027844644
кремния,8,-0.75,2.1876275473,1.33370206781678E+034,5.2797603438,43.0351395676
оксида,13,0.6153846154,1.6602440352,5.03999798374762E+034,6.4472597735,90.6769064337
меньше,12,0.4166666667,1.880924982,3.3077146340099E+034,5.9699050812,75.8537549889
магнитные,11,-1,0,6.72415218640954E+034,7.0953357726,86.4946487353
обладают,7,0.7142857143,1.2535663411,1.7761752385254E+034,5.8621489008,43.1809570535
монодисперсные,5,-1.8,0.4472135955,3.8854629128365E+035,10.7536915321,68.0823208009
которого,4,-0.5,1.7320508076,2.39786624788379E+033,3.9310321895,14.3385672144
например,7,-2.4285714286,0.5345224838,2.80840886740498E+033,3.4317634372,20.645135499
по,7,-0.5714285714,2.1491969707,1.84123554058815E+031,0.3473346561,0.3775977302
элементарные,4,-1,0,1.39521592401497E+035,9.6016884387,46.3644858025
металлов,10,1.8,0.4216370214,2.23411539595072E+034,5.6804425501,59.2466966584
малые,9,-1,0,1.03720277168121E+035,8.0034291153,82.0172487414
тяжелых,5,1,0,5.51212783006485E+034,7.94633661,45.5529826683
металлические,6,-1.5,0.8366600265,4.89411746192861E+034,7.5142255974,50.6075386486
из,22,0.3636363636,1.7056057308,3.93253636440745E+033,2.5154315617,40.78879212
в,111,-0.018018018,2.1319303331,1.28920780877362E+034,2.0202842588,152.0390550618
очень,8,1,1.3093073414,2.57965667946744E+033,3.1733282659,21.0243096392
вирусные,5,-1,0,2.91297144302211E+035,10.3386540328,64.1489108156
исследователи,9,-2.5555555556,0.5270462767,9.11857883774098E+033,4.6054503575,40.2844838101
отдельные,7,-1.5714285714,0.7867957925,2.60277991324268E+034,6.3978161053,48.3050356376
быть,14,2,0,8.9622355027524E+033,4.0001829247,51.5816303126
полимера,8,-1.5,1.6903085095,6.84531586680758E+034,7.5793206256,68.2127964031
золотые,6,-1,0,5.61685511017583E+034,7.7109175084,52.2352664154
материала,8,1,1.3093073414,9.45073156001659E+033,4.8121547937,38.0055128179
