Awesome vacation is when you have Internet access but do not have 
Lets get the party started   Detroit Metro Airport DTW 
Byebye house   Louisville Kentucky 
unagi   Saporro Grill and Sushi 
wethepeople speedartmuseum  Speed Art Museum 
Celebrating something with my hubby   Buckheads Mountain Grill 
Wear pink be happy at the Kentucky Oaks   The Kentucky Oaks 
BaloonGlimmer   Louisville Waterfront Park 
BaloonGlow   Kentucky Exposition Center 
Its always great to see you guys  Great Lawn 
From the bottom of our hearts  ThunderOverLouisville  Thunder 
Cheers to you my love  Ruths Chris Steak House 
Sunny day for sunny birthday girl   The Whitehall Mansion amp Gardens 
This picture is saying bros you want to see all these in July 
This is my special place in Moscow  A place where I went to school 
My   Sterlitamak 
Im the king of the world  Louisville Zoo 
FallsOfTheOhio sunset  Falls of the Ohio State Park 
FallsOfTheOhio aka our local Niagara   Falls of the Ohio State Park 
From the bottom of my heart   Louisville Water Tower 
Its a very pretty and snowy day that everyone hates for no reason 
Happy heartshaped chocolate day   Kingfish Louisville 
Happy Valentines Day from chef Grogean  City of Louisville KY 
Its spring today last weekend it was summer two weeks ago we had 
Rooftop rotating restaurant Rivue in Louisville  RIVUE 
Rooftop restaurants is my new love This one Rivue is in 
Sweet morning  City of Louisville KY 
winter snow  Whitehall House amp Gardens 
Please meet our new neighbor  Snowwoman She is adorably quiet  
EmpireStateBuilding view from 230FifthRooftop  230 Fifth Best 
Did you know that longdistance trains have a special name and they 
ChristmasSpectacular at RadioCityMusicHall is the best way to 
"Broadway in front of TimesSquare on NewYear2016 
1million people "
HappyNewYear2016  Serafina at The Time New York 
"BallDrop 
HappyNewYear2016 in NYC on TimesSquare  Times Square "
Welcome to Pittsburg  Mt Washington Overlook 
"Dayton OH  Pittsburg PA 
So after the flight was canceled we "
Merry Christmas from the Grogean family  City of Louisville KY 
Happy holiday season ya all  City of Louisville KY 
Let the Christmas spirit begin  Tower View Farm amp Nursery 
What could be better for a Halloween night than a tour and Haunted House 
Horses and skeletons is as Halloweenish as you can get in KY  Hillcrest 
My lord Voldemort  Hillcrest Halloween Walk 
They are so different but they are together  Louisville Kentucky 
Chicago WeUniteDiverse  Downtown Chicago 
American style gardening On the roof  Yew Dell Botanical Gardens 
RedRiverGorge  Natural Bridge State Resort Park 
