Just posted a video  Portland Rose Garden Arena 
Just posted a photo  Wildfang West 
I found you my kitty   Wildfang West 
I got enough sand in my panties at last weekend   Seaside Beach 
Just posted a video  Thors Well Cape Perpetua Or 
Whitecollars   Woodburn Premium Outlets 
nothing else matters when you are on the top of a mountain   
Just posted a photo  Oneonta Gorge 
Just posted a video  Oneonta Falls 
Ninja warriors    Oneonta Gorge  Triple Falls 
Fancy brunch with Yuki   Kure Kitchen 
Just posted a photo  Hillsboro Oregon 
Never gonna repeat that again  Rugged Maniac Portland 
When you are getting bored at the strip club go take pictures at the photo booth 
Last night I got my new sailor moon dress nachos for the dinner and a heart to heart talk with 
Finally I visited the authentic Russian restaurant Kachka Thank you Johanna for taking me out  
I got all Portland bridges   Portland Waterfront 
Just posted a photo  Alamo Square Park SF 
Life is in the details  Palace of Fine Arts 
Just posted a photo  San Francisco Bay 
Just posted a photo  Fishermans Wharf San Francisco 
Just posted a video  Lombard Street San Francisco 
This city for long walks  San Francisco California 
Just posted a photo  San Francisco Bay 
Fitch Azerbaijans GDP to grow in 2017  
Just posted a photo  YoYoYogi 
I want to run along this bridge for miles and miles   AstoriaMegler Bridge 
Just posted a photo  Astoria Waterfront 
Just posted a video  Boston Revere Beach 
Just posted a photo  Central Park 
Just posted a photo  Rockefeller Center 
Just posted a photo  New York New York 
Merry Christmas  Downtown Fredericksburg Caroline Street 
Just posted a photo 
fabulous showcases  Downtown Fredericksburg Caroline Street 
Just posted a photo  Harvard University 
Like a boss   Portland International  Airport 
Irish Quine of llamas    Ash Street 
Just posted a photo 
save  City Liquidators 
Today is my one year anniversary  of living in US In this picture my parents to seeing me off at 
Just posted a photo  Mount Scott Klamath County Oregon 
Fairy shot  Umpqua National Forest 
Mother Nature   Mount Hood National Forrest 
Just posted a photo  Mt Park Lake Oswego Oregon 
Like a boss  Portland Rose Garden Arena 
new friend   Portland Chess Club 
Im so impressive person   Fremont Fair Seattle 
Floating with my handsome devil   Bigfoot Growlers 
He thought I dont like selfies   Sadie Smiles 
Such a great day to have a sunbathing   Sauvies Island Beach 
take a breath  Smith Rock State Park 
Who is king of the mountain  Smith Rock State Park 
Just posted a photo  Smith Rock State Park 
Wind farm  Roadway Inn 
Hb Nicole  Jack Knife 
Maybe  Beautiful Oregon Coast 
Just posted a video  St Johns BridgeCathedral Park 
Super weather for outdoor yoga class   Portland First Christian Church 
Just posted a photo  Olympic Sculpture Park 
Just posted a photo  Pike Place Market 
Finally I finished my instawall   Original Pancake House 
Just posted a photo  Original Pancake House 
Just posted a photo  The Painted Hills at the John Day Fossil Beds 
Just posted a photo  The Painted Hills at the John Day Fossil Beds 
Explore the world  Painted Hills National Monument John Day Oregon 
Just posted a photo  Wooden Shoe Tulip Festival 
InstaSize  Wooden Shoe Tulip Festival 
Just posted a photo  Wooden Shoe Tulip Festival 
Just posted a photo  Tryon Creek State Natural Area 
Just posted a photo  Meals on Wheels People 
Just posted a photo  The Original Pancake House 
Just posted a photo  SW Portland 
Just posted a photo  Gabriel City Park 
Easter lady  Tualatin Hills Nature Park 
Just posted a photo  Gabriel City Park 
Just posted a photo  SW Portland 
InstaSize  Oregon Vietnam Veterans Memorial 
It was a nice week   SW Portland 
Just posted a photo  Portland Party Bus 
motel 
Just posted a photo  Trillium Lake 
nofilters  Government Camp Rest Area 
Just posted a photo  Portland Party Bus 
Recycle   Obama Immigration Plan 
My personal batman  Original Pancake House 
One more   Friends of Cape Meares Lighthouse 
Just posted a photo  Friends of Cape Meares Lighthouse 
Just posted a photo 
Just posted a photo  Oregon Coast 
Just posted a photo  Historic Taft District Beach 
Just posted a photo  Yaquina Head Light 
InstaSize  Oregon Coast 
Just posted a photo  Yaquina Head Light 
Just posted a photo  Mt Hood Oregon 
InstaSize  Oregon Zoo Portland 
Just posted a photo  Greenside Recreational Des Moines 
The farmers market outside  Pike Place Market 
The farmers market  Pike Place Market 
Im so excited   Carmax Clackamas 
My little quieterback  Original Pancake House 
Christmas morning  it was amazing Ive never gotten so many gifts in my life Im happy like a 
The cute bushes   Battle of Fredericksburg 
Christmas shopping in the vintage stores   Unique Antiques Mall 
Just posted a photo 
Obamas house   The White House 
My family and Mr Lincoln without head   Lincoln Memorial 
Washington DC   Washington Monument National Monument 
He hates selfies  Downtown Old Fredricksburg 
Christmas stuff   Downtown Old Fredricksburg 
Magic mountains   Salt Lake City International Airport 
Awesome state Utah  Salt Lake City International Airport 
Christmas holidays are coming Im making gifts for my russian family and Im going to the happy 
InstaSize  Portland5 Centers for the Arts 
Musical its a wonderful life  Portland5 Centers for the Arts 
Good night   Portland5 Centers for the Arts 
Handmade truffles  
weddingselfie  
We did it  
Just married   Downtown Portland 
My favorite street   Hawthorne Hideaway 
Flea market   Hawthorne 
The antistress pillow   Original Pancake House 
My first Thanksgiving dinner with my American family  
Mamma Mia   Portland5 Centers for the Arts 
I wanna live in the Nordstroms restroom   Nordstrom Downtown Portland 
All guys like to shoot   Portland Gun Club 
"All the leaves are brown 
And the skys gray
Ive been for a walk
On a winters day 
If I didnt tell "
organized crime group  Original Pancake House 
Little Miss looks like a toy   Original Pancake House 
gn pdx gm msk  
The garden is dying in the autumn  Portland Japanese Gardens 
Sun Saturday   Portland Saturday Market 
flying over Portland archive pdx portland or oregon  Portland Oregon USA 
Look what I found August New York  
seeing autumn in different colors  Quatama Max Stop 
My first home Halloween party   Spirit Halloween 
Forgive me Father I have sinned  Halloween City McMinnville Oregon 
Bad nun  Spirit Halloween 
Fuck the police   Portland City Hall 
keep calm  and lose weight  24 Hour Fitness  Downtown Portland OR 
The best masquerades for Helloween  Spirit Halloween 
pineapple head  Original Pancake House 
Fall in the city On the last study day at PELA Im feeling the adventure ahead   Portland English 
RolePlaying  Portland English Language Academy 
Scary fog   Newport Oregon Bayfront 
Searching for light house   Newport Oregon Bayfront 
Morning pants   Original Pancake House 
"Grand control the major Tom Take your protein pills and put you hamlet on 
Grand control the major Tom "
No we didnt search toilet paper  Winco Foods 
I  Portland so much  Portland Oregon USA 
Arom Dom Dom   Albertsons 
big brother is watching you  Oregon Museum of Science and Industry OMSI 
Sunset   Pittock Mansion 
Pumpkin queen  
Swone 
Bubble gum wall 
Pile of Bikes Sculpture   Oregon Bike Law 
I teach my teacher   Powells City of Books Portland Oregon 
Why I chose the morning classes  Hwy 26 
men reject their prophets and slay them but they love their martyrs and honor those whom they have 
men rejecttheir prophets and slay them but they love their martyrs and honor those whom they have 
First day of autumn   Quatama  Northwest 205th Avenue 
Portlands oldest used book store   Camerons Books amp Magazines 
Watermelon pompoms   Albertsons 
