Morning on Bear mountain  Bear Mountain Resort  Victoria BC 
I live here
Just posted a photo  Bushard Gardens Victoria Canada 
Just posted a photo  The Butchart Gardens 
Summer in the gardens  Bushard Gardens Victoria Canada 
Nissan Juke Nismo 
Canada place Vancouver BC  Canada Place 
vancouverbc  FlyOver Canada 
Just posted a photo  Delta Victoria Ocean Pointe 
BC Hydro office Victoria BC  VicoriaBC 
Summer shoping  Uptown Victoria 
Shoping time  Uptown Victoria 
Nice weather for the beach  Rathtrevor Beach Provincial Park 
Beautiful flowers   Nanaimo Yacht Club 
Beautiful BC  Bushard Gardens Victoria Canada 
Sea of flowers   Bushard Gardens Victoria Canada 
BC Hydro  Edmonds station TransLink 
Vancouver  English Bay Vancouver BC 
Nanaimo BC  via YouTube
Sante spa  Bear Mountain Resort  Victoria BC 
Beautiful sunny Friday  Neck Point 
Neck point park  Nanaimo British Columbia 
Burnaby BC  Burnaby British Columbia 
dogstargram dogsoninstagram petsoninstagram petstargram  Burnaby British Columbia 
Sunny Vancouver morning  Burnaby British Columbia 
Pacific ocean  Tofino British Columbia 
Saturday morning  Cameron Lake British Columbia 
On the way to Toffino  Cameron Lake British Columbia 
RT Abbotsforward Weve come a long way since our speaker event amp now we have a visionary draft OCP for Abbotsfords future 
Nanaimo in bloom  Nanaimo British Columbia 
Nanaimo BC  Nanaimo Waterfront 
Just posted a photo  Bushard Gardens Victoria Canada 
Sunny Saturday with Max  The Butchart Gardens 
Brentwood bay  Brentwood Bay Ferry Terminal 
Tulips  Bushard Gardens Victoria Canada 
Butchart gardens  Bushard Gardens Victoria Canada 
Friday  North Nanaimo Vancouver Island BC 
Blainville QC  Fontainebleau Blainville 
April snow in Quebec  Fontainebleau Blainville 
Nanaimo BC  Maffeo Sutton Park 
Spring  Maffeo Sutton Park 
Beautiful sunny Easter   Maffeo Sutton Park 
Spring in Horshoe bay  Horseshoe Bay Ferry Terminal 
Spring trees  Horseshoe Bay Ferry Terminal 
