Filename,и,Segment,Личноеместоимение,вербальные,Предлог,Союз,Когнитив,Включение,AllPunc,мест.-сущ.,добавление,Truth,Sex,Avg_sent,TTR,Avg_word,Hapax,Yules
100Л.docx,2.59,1,22.41,22.41,10.34,15.52,19.83,4.31,18.97,19.83,2.61,1,жен.,27.6,0.6086956522,3.9782608696,0.7619047619,705.7823129252
100П.docx,3.7,1,11.73,8.64,17.9,8.64,24.07,13.58,19.14,1.85,3.73,0,жен.,27.6,0.6086956522,3.9782608696,0.7619047619,705.7823129252
101Л.docx,2.8,1,11.19,15.38,13.99,9.09,21.33,9.79,22.03,8.42,3.16,1,жен.,20.2941176471,0.5826086957,4.0434782609,0.8208955224,421.2767010718
101П.docx,2.52,1,14.49,22.83,13.41,9.42,22.1,10.51,22.1,10.87,2.52,0,жен.,20.2941176471,0.5826086957,4.0434782609,0.8208955224,421.2767010718
102Л.docx,5.88,1,10.7,17.11,13.37,9.63,21.39,14.97,18.72,6.99,5.38,1,жен.,17.8333333333,0.6214953271,4.4392523364,0.8270676692,479.9592967381
102П.docx,5.2,1,12.64,15.24,12.64,9.29,20.82,11.15,15.99,7.06,5.62,0,жен.,17.8333333333,0.6214953271,4.4392523364,0.8270676692,479.9592967381
103Л.docx,2.7,1,9.46,16.67,13.51,6.31,15.32,7.66,19.37,6.31,2.71,1,жен.,26,0.6423076923,4.4538461538,0.8203592814,359.6400014343
103П.docx,6.29,1,12,15.43,12.57,13.14,24.57,12.57,20,8.57,7.43,0,жен.,26,0.6423076923,4.4538461538,0.8203592814,359.6400014343
104Л.docx,2.07,1,20,20.69,16.55,6.21,20,5.52,17.93,11.03,2.76,1,жен.,16.7,0.6407185629,4.3053892216,0.8224299065,450.694383789
104П.docx,2,1,5.6,15.6,13.6,5.6,15.2,8.4,25.2,5.2,2,0,жен.,16.7,0.6407185629,4.3053892216,0.8224299065,450.694383789
105Л.docx,1.96,1,1.96,5.88,11.76,1.96,7.84,3.92,17.65,1.96,1.96,1,муж.,11.8,0.813559322,5.7288135593,0.8958333333,230.0347222222
105П.docx,2.94,1,2.94,5.88,11.76,2.94,8.82,2.94,17.65,2.94,2.94,0,муж.,11.8,0.813559322,5.7288135593,0.8958333333,230.0347222222
106Л.docx,4.88,1,17.07,14.63,9.76,4.88,21.95,17.07,9.76,9.76,4.88,1,муж.,11.25,0.8222222222,5.2666666667,0.8648648649,233.7472607743
106П.docx,2.53,1,17.95,1.28,6.41,11.54,21.79,6.41,28.21,15.19,3.8,0,муж.,11.25,0.8222222222,5.2666666667,0.8648648649,233.7472607743
107Л.docx,3.88,1,12.14,23.3,12.62,9.71,19.9,10.19,29.61,9.76,3.92,1,жен.,8.8965517241,0.5658914729,3.8643410853,0.7945205479,711.2028523175
107П.docx,4.11,1,7.48,13.61,15.65,8.16,14.29,7.48,34.69,5.44,4.11,0,жен.,8.8965517241,0.5658914729,3.8643410853,0.7945205479,711.2028523175
108Л.docx,2.02,1,10.1,15.15,14.14,8.08,18.18,4.04,19.19,12.12,2.02,1,муж.,10.9090909091,0.6833333333,4.475,0.8658536585,452.1118381916
108П.docx,3.39,1,3.39,11.86,13.56,5.08,20.34,8.47,33.9,1.69,3.39,0,муж.,10.9090909091,0.6833333333,4.475,0.8658536585,452.1118381916
109Л.docx,2.82,1,22.54,9.86,7.04,11.27,18.31,4.23,18.31,15.49,2.82,1,жен.,9.3333333333,0.7380952381,4.0595238095,0.8064516129,338.1893860562
109П.docx,1.53,1,16.79,12.98,9.16,11.45,12.98,9.16,22.9,13.74,1.53,0,жен.,9.3333333333,0.7380952381,4.0595238095,0.8064516129,338.1893860562
10Л.docx,3.37,1,10.11,13.48,21.35,3.37,14.61,7.87,14.61,6.74,3.37,1,муж.,10,0.65,4.71,0.7846153846,565.6804733728
10П.docx,4.9,1,9.79,16.78,15.38,5.59,12.59,11.19,13.29,6.29,4.9,0,муж.,10,0.65,4.71,0.7846153846,565.6804733728
110Л.docx,6.49,1,14.05,25.41,11.35,11.35,18.38,12.43,17.3,10.81,7.03,1,жен.,14.4666666667,0.6221198157,3.8571428571,0.8222222222,440.0548696845
110П.docx,3.64,1,15.14,21.56,11.93,9.17,22.48,8.72,18.35,11.93,4.11,0,жен.,14.4666666667,0.6221198157,3.8571428571,0.8222222222,440.0548696845
111Л.docx,2.35,1,18.01,20.85,11.61,8.29,18.72,6.4,24.17,13.51,2.82,1,жен.,9.6226415094,0.5098039216,3.9960784314,0.7615384615,767.4556213018
111П.docx,2.12,1,18.44,15.6,10.64,7.45,18.09,9.22,25.89,14.54,2.12,0,жен.,9.6226415094,0.5098039216,3.9960784314,0.7615384615,767.4556213018
112Л.docx,5.31,1,15.45,18.7,11.38,13.01,24.8,10.98,17.07,15.04,5.31,1,жен.,12.347826087,0.5985915493,4.1654929577,0.8235294118,447.7508650519
