Filename,и
100Л.docx,2.59
100П.docx,3.7
101Л.docx,2.8
101П.docx,2.52
102Л.docx,5.88
102П.docx,5.2
103Л.docx,2.7
103П.docx,6.29
104Л.docx,2.07
104П.docx,2
105Л.docx,1.96
105П.docx,2.94
106Л.docx,4.88
106П.docx,2.53
107Л.docx,3.88
107П.docx,4.11
108Л.docx,2.02
108П.docx,3.39
109Л.docx,2.82
109П.docx,1.53
10Л.docx,3.37
10П.docx,4.9
110Л.docx,6.49
110П.docx,3.64
111Л.docx,2.35
111П.docx,2.12
112Л.docx,5.31
112П.docx,4.69
113Л.docx,2.43
113П.docx,4.64
11Л.docx,2.15
11П.docx,1.27
12Л.docx,5.29
12П.docx,5.22
13Л.docx,5.48
13П.docx,4.32
14Л.docx,4.11
14П.docx,2.19
15Л.docx,6.99
15П.docx,4.07
16Л.docx,3.01
16П.docx,3.03
17Л.docx,3.2
17П.docx,4.61
18Л.docx,2.22
18П.docx,1.18
19Л.docx,3.75
19П.docx,1.75
1Л.docx,5
1П.docx,3.37
20Л.docx,3.85
20П.docx,1.25
21Л.docx,6.99
21П.docx,4.46
22Л.docx,2.12
22П.docx,2.29
23Л.docx,4.64
23П.docx,4.97
24Л.docx,3.75
24П.docx,3.2
25Л.docx,2.98
25П.docx,3.05
26Л.docx,2.58
26П.docx,3.14
27Л.docx,2.77
27П.docx,3.72
28Л.docx,4.52
28П.docx,4.52
29Л.docx,3.85
29П.docx,4.76
2Л.docx,5.49
2П.docx,3.52
30Л.docx,4.27
30П.docx,2.98
31Л.docx,1.36
31П.docx,1.44
32Л.docx,3.03
32П.docx,1.89
33Л.docx,1.77
33П.docx,0.73
34Л.docx,5.26
34П.docx,4
35Л.docx,2.7
35П.docx,2.86
36Л.docx,5.77
36П.docx,4.23
37Л.docx,2.63
37П.docx,1.66
38Л.docx,6.2
38П.docx,2.75
39Л.docx,1.61
39П.docx,0
3Л.docx,3.53
3П.docx,4.35
40Л.docx,3.91
40П.docx,2.42
41Л.docx,5.05
41П.docx,2.42
42Л.docx,5.37
42П.docx,4.61
43Л.docx,5.45
43П.docx,5.08
44Л.docx,4.14
44П.docx,3.76
45Л.docx,2.08
45П.docx,2.33
46Л.docx,6.56
46П.docx,7.32
47Л.docx,7.02
47П.docx,3.65
48Л.docx,6.43
48П.docx,7.41
49Л.docx,3.4
49П.docx,3.85
4Л.docx,0
4П.docx,1.75
50Л.docx,5.8
50П.docx,2.2
51Л.docx,2.54
51П.docx,2.7
52Л.docx,4.15
52П.docx,4.91
53Л.docx,3.36
53П.docx,2.6
54Л.docx,6.9
54П.docx,6.3
55Л.docx,5.77
55П.docx,2.89
56Л.docx,2.94
56П.docx,3.13
57Л.docx,7.14
57П.docx,5.63
58Л.docx,4.11
58П.docx,6.67
59Л.docx,3.7
59П.docx,2.67
5Л.docx,3.85
5П.docx,4.81
60Л.docx,0
60П.docx,0
61Л.docx,6.08
61П.docx,5.77
62Л.docx,3.43
62П.docx,3.47
63Л.docx,9.56
63П.docx,5.36
64Л.docx,2.13
64П.docx,2.76
65Л.docx,6.52
65П.docx,5.81
66Л.docx,2.99
66П.docx,4.81
67Л.docx,5.26
67П.docx,5.66
68Л.docx,6.76
68П.docx,2.3
69Л.docx,5.71
69П.docx,5.84
6Л.docx,2.58
6П.docx,3.31
70Л.docx,4.55
70П.docx,4.48
71Л.docx,3.21
71П.docx,4.93
72Л.docx,4.2
72П.docx,3.97
73Л.docx,4.13
73П.docx,5.47
74Л.docx,3.55
74П.docx,3.76
75Л.docx,5.31
75П.docx,6.1
76Л.docx,3.23
76П.docx,6.73
77Л.docx,1.13
77П.docx,4.4
78Л.docx,3.98
78П.docx,3.61
79Л.docx,6.02
79П.docx,3.9
7Л.docx,4.3
7П.docx,6.49
80Л.docx,4.55
80П.docx,5.93
81Л.docx,4.57
81П.docx,2.24
82Л.docx,3.9
82П.docx,3.29
83Л.docx,2.15
83П.docx,3.94
84Л.docx,4.4
84П.docx,3.17
85Л.docx,4.55
85П.docx,5.52
86Л.docx,2.96
86П.docx,5.03
87Л.docx,2.75
87П.docx,3.14
88Л.docx,6.9
88П.docx,1.79
89Л.docx,1.33
89П.docx,1.79
8Л.docx,1.67
8П.docx,2.33
90Л.docx,7.69
90П.docx,2.22
91Л.docx,1.67
91П.docx,3.36
92Л.docx,2.34
92П.docx,2.66
93Л.docx,6.98
93П.docx,4.72
94Л.docx,1.87
94П.docx,4.86
95Л.docx,1.96
95П.docx,4.86
96Л.docx,4.64
96П.docx,3.87
97Л.docx,5
97П.docx,2.56
98Л.docx,1.74
98П.docx,2.84
99Л.docx,1.57
99П.docx,1.35
9Л.docx,4.05
9П.docx,5.99
