Filename,мест.-сущ.
100Л.docx,19.83
100П.docx,1.85
101Л.docx,8.42
101П.docx,10.87
102Л.docx,6.99
102П.docx,7.06
103Л.docx,6.31
103П.docx,8.57
104Л.docx,11.03
104П.docx,5.20
105Л.docx,1.96
105П.docx,2.94
106Л.docx,9.76
106П.docx,15.19
107Л.docx,9.76
107П.docx,5.44
108Л.docx,12.12
108П.docx,1.69
109Л.docx,15.49
109П.docx,13.74
10Л.docx,6.74
10П.docx,6.29
110Л.docx,10.81
110П.docx,11.93
111Л.docx,13.51
111П.docx,14.54
112Л.docx,15.04
112П.docx,12.27
113Л.docx,10.68
113П.docx,6.62
11Л.docx,10.27
11П.docx,10.13
12Л.docx,13.66
12П.docx,16.67
13Л.docx,11.64
13П.docx,7.19
14Л.docx,11.81
14П.docx,9.63
15Л.docx,5.56
15П.docx,11.44
16Л.docx,3.76
16П.docx,3.01
17Л.docx,6.39
17П.docx,8.76
18Л.docx,5.19
18П.docx,1.18
19Л.docx,6.25
19П.docx,7.02
1Л.docx,0.00
1П.docx,2.25
20Л.docx,6.41
20П.docx,7.50
21Л.docx,2.11
21П.docx,8.85
22Л.docx,6.36
22П.docx,6.29
23Л.docx,8.86
23П.docx,3.73
24Л.docx,12.03
24П.docx,7.34
25Л.docx,8.94
25П.docx,9.76
26Л.docx,3.61
26П.docx,4.04
27Л.docx,5.98
27П.docx,6.19
28Л.docx,5.81
28П.docx,3.48
29Л.docx,7.69
29П.docx,6.19
2Л.docx,15.38
2П.docx,13.64
30Л.docx,12.88
30П.docx,9.75
31Л.docx,10.96
31П.docx,10.53
32Л.docx,1.52
32П.docx,7.55
33Л.docx,0.88
33П.docx,2.19
34Л.docx,7.02
34П.docx,5.00
35Л.docx,2.70
35П.docx,0.00
36Л.docx,7.05
36П.docx,7.94
37Л.docx,15.79
37П.docx,8.30
38Л.docx,1.55
38П.docx,7.34
39Л.docx,16.13
39П.docx,13.04
3Л.docx,2.35
3П.docx,2.15
40Л.docx,8.70
40П.docx,10.48
41Л.docx,11.78
41П.docx,10.48
42Л.docx,10.33
42П.docx,5.07
43Л.docx,11.25
43П.docx,8.16
44Л.docx,8.28
44П.docx,9.86
45Л.docx,4.17
45П.docx,5.81
46Л.docx,3.28
46П.docx,8.54
47Л.docx,2.64
47П.docx,4.69
48Л.docx,5.71
48П.docx,3.70
49Л.docx,11.17
49П.docx,11.92
4Л.docx,8.89
4П.docx,7.02
50Л.docx,0.00
50П.docx,1.10
51Л.docx,4.24
51П.docx,4.73
52Л.docx,8.29
52П.docx,7.55
53Л.docx,4.70
53П.docx,6.77
54Л.docx,10.06
54П.docx,10.06
55Л.docx,0.96
55П.docx,7.47
56Л.docx,5.39
56П.docx,8.75
57Л.docx,1.02
57П.docx,2.82
58Л.docx,5.48
58П.docx,6.67
59Л.docx,2.78
59П.docx,4.00
5Л.docx,10.39
5П.docx,7.38
60Л.docx,3.33
60П.docx,5.41
61Л.docx,14.86
61П.docx,5.77
62Л.docx,9.36
62П.docx,5.94
63Л.docx,5.84
63П.docx,5.39
64Л.docx,7.80
64П.docx,12.15
65Л.docx,5.80
65П.docx,10.32
66Л.docx,5.50
66П.docx,5.56
67Л.docx,0.00
67П.docx,9.43
68Л.docx,12.16
68П.docx,9.20
69Л.docx,5.69
69П.docx,6.54
6Л.docx,10.32
6П.docx,3.97
70Л.docx,6.06
70П.docx,7.96
71Л.docx,12.85
71П.docx,10.56
72Л.docx,8.40
72П.docx,6.62
73Л.docx,9.97
73П.docx,8.51
74Л.docx,8.38
74П.docx,8.41
75Л.docx,9.73
75П.docx,14.63
76Л.docx,8.60
76П.docx,4.81
77Л.docx,9.04
77П.docx,6.04
78Л.docx,5.68
78П.docx,2.06
79Л.docx,13.25
79П.docx,6.49
7Л.docx,1.09
7П.docx,6.49
80Л.docx,7.58
80П.docx,5.08
81Л.docx,8.35
81П.docx,9.27
82Л.docx,5.67
82П.docx,7.82
83Л.docx,4.30
83П.docx,8.66
84Л.docx,6.59
84П.docx,11.90
85Л.docx,0.00
85П.docx,11.72
86Л.docx,6.67
86П.docx,4.40
87Л.docx,4.59
87П.docx,4.71
88Л.docx,10.34
88П.docx,5.36
89Л.docx,14.67
89П.docx,3.57
8Л.docx,12.18
8П.docx,13.29
90Л.docx,0.00
90П.docx,0.00
91Л.docx,3.33
91П.docx,4.70
92Л.docx,11.74
92П.docx,9.04
93Л.docx,10.08
93П.docx,12.50
94Л.docx,10.28
94П.docx,5.95
95Л.docx,5.23
95П.docx,3.24
96Л.docx,12.67
96П.docx,8.97
97Л.docx,3.57
97П.docx,1.91
98Л.docx,4.31
98П.docx,4.26
99Л.docx,10.24
99П.docx,13.51
9Л.docx,5.41
9П.docx,1.80
