ID,Пол
1,муж.
2,жен.
3,муж.
4,муж.
5,муж.
6,жен.
7,муж.
8,муж.
9,муж.
10,муж.
11,муж.
12,муж.
13,муж.
14,муж.
15,муж.
16,муж.
17,муж.
18,муж.
19,муж.
20,муж.
21,муж.
22,муж.
23,жен.
24,муж.
25,муж.
26,муж.
27,муж.
28,муж.
29,муж.
30,муж.
31,жен.
32,жен.
33,жен.
34,жен.
35,жен.
36,жен.
37,жен.
38,жен.
39,муж.
40,жен.
41,муж.
42,жен.
43,жен.
44,жен.
45,муж.
46,муж.
47,муж.
48,жен.
49,муж.
50,муж.
51,муж.
52,жен.
53,жен.
54,жен.
55,жен.
56,жен.
57,жен.
58,жен.
59,жен.
60,муж.
61,жен.
62,муж.
63,жен.
64,жен.
65,жен.
66,муж.
67,жен.
68,муж.
69,жен.
70,жен.
71,жен.
72,жен.
73,жен.
74,жен.
75,жен.
76,жен.
77,жен.
78,жен.
79,жен.
80,жен.
81,жен.
82,жен.
83,муж.
84,жен.
85,жен.
86,жен.
87,жен.
88,жен.
89,жен.
90,муж.
91,жен.
92,жен.
93,жен.
94,муж.
95,жен.
96,жен.
97,жен.
98,жен.
99,муж.
100,жен.
101,жен.
102,жен.
103,жен.
104,жен.
105,муж.
106,муж.
107,жен.
108,муж.
109,жен.
110,жен.
111,жен.
112,жен.
113,жен.
